"Geneid","PD2699_C4_1_BULK","PD2699_C4_1_YFP","PD6422_C5_YFP","PD6419_C1_BULK","PD6419_C1_YFP","PD6422_C5_BULK","PD6499_C4_BULK","PD6499_C4_YFP","PD6620_C1_BULK","PD6620_C1_YFP"
"Xkr4",0.103729622119913,0.0744483531802155,0,0.221092676710257,0.0146105819448191,0.045792158825974,0.162683221992498,0,0.148117916187302,0.0700534748262792
"Rp1",0.00644563193433475,0.020817583522384,0.0513033242760233,0.0824305721929899,0.0490257200253674,0.0554866412038746,0.0433240138885766,0.0131718082228062,0.0138057994107073,0.0208945790514988
"Sox17",3.11117062041978,4.30020110031339,4.4413697596714,4.42796360338578,2.91767253145217,5.40961206115422,3.48076754472731,3.58905472537476,4.83660599722633,4.78241867670909
"Mrpl15",27.2627998685552,18.740463412987,20.3544748378591,22.7271447769855,19.4887565061373,23.7472075104896,17.5304656253437,19.0393330130473,20.4682494789547,18.8946144537801
"Lypla1",64.1166877903882,52.3465710034266,65.2350930725112,105.838872703003,60.4273131551632,103.5523138647,46.271937918193,45.4600111406232,59.9818660400779,51.4171083200528
"Tcea1",72.1600381092912,50.2699233848617,46.0885278717626,100.748834217749,54.8106000071593,80.7494296442972,46.6924765119395,41.8482088113304,59.8146006450563,45.7643627762802
"Rgs20",0.84103848010657,1.11670868718266,2.81154579279421,0.507908053763432,0.829236911004705,4.67815637034187,0.829106791091747,1.08849918795455,2.07161841880306,1.65853867995225
"Atp6v1h",76.7514862125513,74.2082798469845,84.4219879419321,88.4703949598518,83.4040633908479,93.7522727907382,76.9761916227624,75.9203394902214,82.4688100317885,75.7023658147708
"Oprk1",0,0,0,0,0,0,0,0,0,0
"Npbwr1",0.01701667780714,0,0,0.0181349491505298,0,0,0.0686260828881835,0,0,0
"Rb1cc1",21.2658238854026,22.6062382167544,20.9502971483496,34.4843753739953,22.4858141762445,22.5369723122194,18.4709676626791,21.2913129197669,19.8620113440832,20.8327501060576
"Fam150a",0,0,0,0,0,0,0,0,0,0.118682670171887
"St18",0.0917757133867306,0.230540968373436,0.227260153353598,0.456432032961817,0.120650538390621,0.411902735578192,0.123373233901886,0.125030626275953,0.0109207212186466,0.1239608801422
"Pcmtd1",23.5115586392269,20.6968200519161,23.3396531191959,39.2997796792804,24.2133645877121,27.249743531627,19.1930399560113,19.9252903622182,22.427521142694,22.4504194795733
"Sntg1",0.0899006550879477,0.209700041792257,0.0477036491026378,0.0319361947358722,0.101301893226755,0.0595308985834448,0.060426305276216,0.0612380704734994,0.048139205887013,0.133571075731251
"Rrs1",69.6664451209252,41.9424500281087,42.3873476065987,34.2290435449964,39.613739314091,36.2190821929333,39.3824805683806,40.9041082142913,53.1230005191446,39.6777955781096
"Adhfe1",5.18376036513726,9.24370343509168,4.9702673633686,3.58340586820995,8.40654438654793,1.7494384424111,9.92806698211225,9.48883804442957,6.51605584012007,9.87803539081793
"3110035E14Rik",0.236556916714004,0.212225694584956,0.282427456257646,0.189076903160905,0.0999589359036198,0.143590818709561,0.318001252617726,0.322273272036879,0.126669400868682,0.191709565749883
"Mybl1",1.57063936159902,1.93789481577276,1.20799441426355,4.3633095183122,1.87919991663527,1.63604064075158,1.18617742520212,1.6769469342044,2.0033572256676,1.6876275644498
"Vcpip1",20.9661385699053,17.5266313056863,17.0259762324216,26.3159243332328,20.2632537594702,18.4978951982816,15.0143702532251,15.6295530997189,19.7622215286346,17.5324232517225
"Sgk3",6.68499884865632,4.57327490541027,5.39203597938345,12.3901070381328,4.00573281670613,6.44019455075723,4.37306891605833,4.69452737200188,3.99864344928458,4.23988559710857
"Mcmdc2",0.0984341158855634,0,0.0391737956692832,0.445837034267079,0.0623911337103089,0.195544894446051,0.0992430466209062,0,0,0.0997157569599287
"Ppp1r42",0.376953446783765,0.586181516823289,0.20002140068736,0.758814632322569,0.0353965698583152,0.832043525867947,0.225215553798376,0.256771229495383,0.0897100845707759,0.305489193022438
"Cops5",153.996182120298,154.433554767469,158.531893038731,190.487222542163,162.455685633018,188.23389854785,151.666043341824,155.17147545171,155.092010613884,153.648653848654
"Cspp1",28.5701969312454,13.7944556801636,15.1830668183676,20.7905654617819,12.7798364302415,17.9346083837177,12.6470378740705,12.1485698842556,13.9386477290147,13.8454755986283
"Arfgef1",54.9924511496528,52.115126443807,45.5743165866045,80.6074951905885,56.2389267054472,50.0797569496066,46.8093034547215,48.2038576246658,50.4762542730128,51.4354378292537
"Cpa6",0,0,0.103638031444228,0.0693826241075193,0,0.0862221270329479,0,0,0.20916859096813,0.263807593283625
"Prex2",5.48677806840884,10.2539745913763,5.80199736507091,13.777477667933,10.5980880254247,3.08660108371501,9.42927818095241,8.34328612868255,7.31946721122514,9.31186330746862
"A830018L16Rik",0,0,0,0.0242207520548979,0.0320118502275851,0.00501654121468676,0,0,0,0
"Sulf1",17.7859407970546,16.2277129491265,24.26246431035,45.5492505264739,22.7487001186458,53.4995091930921,15.7660148166832,18.0146344706619,33.0049745763575,20.0351670588318
"Slco5a1",1.82327774557612,1.63706776477858,2.90243719714357,4.35820052568686,2.2832471921296,4.03263957725917,0.873236197314819,1.27465449960991,2.47437931535537,1.44172043078384
"Prdm14",0,0.0260841993305922,0.0385694949262167,0.0258211462644643,0,0,0,0.0495123851707256,0.0778433051616837,0
"Ncoa2",16.5994760242049,23.6846562539283,19.4103319551718,17.2175013443386,20.7194703024291,14.1274162525612,21.2142192630304,19.782295807038,19.7595936915297,21.3317974185277
