cell_type	gene
CD8_t_cells	TBCC
CD8_t_cells	RBM3
CD8_t_cells	ABT1
CD8_t_cells	C19orf6
CD8_t_cells	CAMLG
CD8_t_cells	PPP1R2
CD8_t_cells	AES
CD8_t_cells	KLF9
CD8_t_cells	PRF1
Tgd	Trd
Tgd	TARP
Tgd	C10RF61
Tgd	TRGV9
Tgd	CD160
Tgd	TARP
Tgd	FEZ1
Cytotoxic_cells	KLRD1
Cytotoxic_cells	KLRF1
Cytotoxic_cells	GNLY
Cytotoxic_cells	GNLY
Cytotoxic_cells	CTSW
Cytotoxic_cells	KLRB1
Cytotoxic_cells	KLRD1
Cytotoxic_cells	KLRK1
Cytotoxic_cells	NKG7
Cytotoxic_cells	GZMH
Cytotoxic_cells	KLRD1
Cytotoxic_cells	SIGIRR
Cytotoxic_cells	ZBTB16
Cytotoxic_cells	RUNX3
Cytotoxic_cells	APOL3
Cytotoxic_cells	RORA
Cytotoxic_cells	APBA2
Cytotoxic_cells	SIGIRR
Cytotoxic_cells	WHDC1L1
Cytotoxic_cells	DUSP2
Cytotoxic_cells	GZMA
Nk_cells	LOC643313
Nk_cells	GAGE2
Nk_cells	ZNF747
Nk_cells	XCL1
Nk_cells	XCL2
Nk_cells	AF107846
Nk_cells	SLC30A5
Nk_cells	NM_014114
Nk_cells	MCM3AP
Nk_cells	TBXA2R
Nk_cells	CDC5L
Nk_cells	LOC730096
Nk_cells	FUT5
Nk_cells	FGF18
Nk_cells	MRC2
Nk_cells	RP5-886K2.1
Nk_cells	SPN
Nk_cells	PSMD4
Nk_cells	PRX
Nk_cells	FZR1
Nk_cells	ZNF205
Nk_cells	AL080130
Nk_cells	ZNF528
Nk_cells	MAPRE3
Nk_cells	BCL2
Nk_cells	NM_017616
Nk_cells	ARL6IP2
Nk_cells	SPN
Nk_cells	FZR1
Nk_cells	PDLIM4
Nk_cells	NM_014274
Nk_cells	LDB3
Nk_cells	ADARB1
Nk_cells	SMEK1
Nk_cells	TCTN2
Nk_cells	TINAGL1
Nk_cells	IGFBP5
Nk_cells	ALDH1B1
Nk_cells	NCR1
Nk_cells	NCR1
Nk_cells	NCR1
NK_CD56dim_cells	KIR3DL2
NK_CD56dim_cells	KIR3DL2
NK_CD56dim_cells	SPON2
NK_CD56dim_cells	KIR2DL3
NK_CD56dim_cells	GZMB
NK_CD56dim_cells	KIR3DS1
NK_CD56dim_cells	KIR3DL1
NK_CD56dim_cells	FLJ20699
NK_CD56dim_cells	TMEPAI
NK_CD56dim_cells	KIR3DL2
NK_CD56dim_cells	IL21R
NK_CD56dim_cells	KIR3DL2
NK_CD56dim_cells	KIR3DL3
NK_CD56dim_cells	KIR2DS5
NK_CD56dim_cells	KIR2DS2
NK_CD56dim_cells	GTF3C1
NK_CD56dim_cells	KIR2DS1
NK_CD56dim_cells	EDG8
NK_CD56bright_cells	DUSP4
NK_CD56bright_cells	RRAD
NK_CD56bright_cells	XCL1
NK_CD56bright_cells	PLA2G6
NK_CD56bright_cells	PLA2G6
NK_CD56bright_cells	NIBP
NK_CD56bright_cells	FOXJ1
NK_CD56bright_cells	3/6/09
NK_CD56bright_cells	DUSP4
NK_CD56bright_cells	PLA2G6
NK_CD56bright_cells	MADD
NK_CD56bright_cells	BG255923
NK_CD56bright_cells	MPPED1
NK_CD56bright_cells	MUC3B
DC	CD209
DC	CCL17
DC	HSD11B1
DC	CCL13
DC	CCL22
DC	PPFIBP2
DC	NPR1
iDC	CD1B
iDC	VASH1
iDC	F13A1
iDC	CD1E
iDC	MMP12
iDC	FABP4
iDC	CLEC10A
iDC	SYT17
iDC	MS4A6A
iDC	CTNS
iDC	GUCA1A
iDC	CARD9
iDC	CD1E
iDC	ABCG2
iDC	CD1A
iDC	PPARG
iDC	RAP1GAP
iDC	SLC7A8
iDC	GSTT1
iDC	NM_021941
iDC	FZD2
iDC	CSF1R
iDC	HS3ST2
iDC	CH25H
iDC	LMAN2L
iDC	SLC26A6
iDC	BLVRB
iDC	NUDT9
iDC	PREP
iDC	TM7SF4
iDC	TACSTD2
iDC	CD1C
aDC	CCL1
aDC	EBI3
aDC	INDO
aDC	LAMP3
aDC	OAS3
pDC	IL3RA
Eosinophils	IL5RA
Eosinophils	KCNH2
Eosinophils	TKTL1
Eosinophils	IL5RA
Eosinophils	EMR1
Eosinophils	KCNH2
Eosinophils	CCR3
Eosinophils	ACACB
Eosinophils	THBS1
Eosinophils	GALC
Eosinophils	TKTL1
Eosinophils	RNU2
Eosinophils	CLC
