"Gene_set","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GSE339_CD8POS_VS_CD4CD8DN_DC_UP",0.255547052302563,0.0220210683690653,3.48113967125233,0.00468652250197749,0.0299416118878783,-2.17659771071207
"GSE22601_DOUBLE_NEGATIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_UP",0.255399471531571,0.0289727069908772,3.41328340286644,0.00530393960303276,0.0321321804587013,-2.2978633956572
"GSE360_CTRL_VS_M_TUBERCULOSIS_MAC_DN",0.255197208030964,-0.0014552734869139,3.29796585393875,0.00654941606553525,0.036490484691573,-2.5041098246096
"GSE3982_BCELL_VS_CENT_MEMORY_CD4_TCELL_UP",0.255024529320706,-0.00434910190632512,3.38042701579655,0.00563205597350058,0.0330197072237002,-2.35661381419566
"GSE37416_12H_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN",0.254791314985325,0.00154285809233661,3.49461453903818,0.00457291162320534,0.0296266295588516,-2.15253095790365
"GSE2770_UNTREATED_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_48H_UP",0.253833986724759,0.0104439585526242,3.45790791396577,0.00488920218028118,0.0306566190763577,-2.21810269657764
"GSE17721_ALL_VS_24H_PAM3CSK4_BMDC_UP",0.251357657674388,0.00712745311252381,3.30614501630439,0.00645202008815318,0.0360484425108742,-2.48947877966371
"GSE5099_CLASSICAL_M1_VS_ALTERNATIVE_M2_MACROPHAGE_UP",0.250614676177566,-0.00409808257830949,3.10739240391737,0.00929233999935669,0.0465764202436891,-2.84477626223007
"GSE7460_CTRL_VS_TGFB_TREATED_ACT_FOXP3_MUT_TCONV_UP",0.249448162705766,0.0127469514178056,3.40460396739606,0.00538867815328135,0.0323320689196881,-2.31338140953936
"GSE369_PRE_VS_POST_IL6_INJECTION_IFNG_KO_LIVER_DN",0.249033758938651,0.0144951845575506,3.52180876056176,0.00435211134916814,0.0289931959967078,-2.10397806276956
