sample_id,primary,yfp_bulk,moffitt_tumor_type,bailey_type,moffitt_stromal_type,gsva_aDC,gsva_B_cells,gsva_blood_vessels,gsva_CD8_T_cells,gsva_Cytotoxic_cells,gsva_DC,gsva_Eosinophils,gsva_iDC,gsva_Lymph_vessels,gsva_Macrophages,gsva_Mast_cells,gsva_Neutrophils,gsva_NK_CD56bright_cells,gsva_NK_CD56dim_cells,gsva_NK_cells,gsva_helper_T_cells,gsva_Tcm,gsva_Tem,gsva_Tfh,gsva_Tgd,gsva_Th1_cells,gsva_Th17_cells,gsva_Th2_cells,gsva_Treg,gsva_MDSC,gsva_CYT_index,gsva_Immune_suppression_index,flow_CD4_T_cells,flow_CD8_T_cells,flow_gMDSCs,flow_DCs,flow_CD4_CD8_null_T_cells,flow_F480_macrophages,flow_B_cells
PD6553_C3_BULK,PD6553,BULK,Classical,Pancreatic_Progenitor,Normal Stroma,-0.279597033,0.190900016,0.610451306,-0.050234768,-0.082517939,-0.281475912,0.278028407,-0.305471926,0.1003663,0.015348571,0.005602875,0.480956615,0.430035979,-0.745382691,0.249897572,-0.106622587,0.081012658,-0.076842722,0.288049712,-0.938253216,-0.122352941,-0.815694165,-0.037469039,-0.857482185,-0.45368171,-0.54047619,-0.081422885,NA,NA,NA,NA,NA,NA,NA
PD6556_C5_YFP,PD6556,YFP,Classical,Pancreatic_Progenitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD6883_C1_YFP,PD6883,YFP,Classical,Pancreatic_Progenitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD6499_C3_BULK,PD6499,BULK,Classical,Pancreatic_Progenitor,Normal Stroma,-0.525893026,-0.067247924,0.439429929,-0.188329129,0.207018703,-0.404973585,0.092973794,0.170610104,-0.282667569,0.455369221,-0.034747941,0.283349145,0.257726974,-0.667566149,-0.388204815,0.211215827,0.222110225,-0.149906191,-0.353315372,-0.069047619,-0.232781775,0.609273183,0.448361746,-0.895486936,-0.6152019,-0.683333333,-0.099443672,3.05,0.43,67.18,0.4,1.418,8.37,1.08
PD6556_C4_BULK,PD6556,BULK,Classical,Pancreatic_Progenitor,Normal Stroma,0.11622807,0.128910274,0.624703088,-0.036777211,-0.44445785,-0.528924463,0.23975706,-0.079069645,0.676190476,0.040064409,0.470522987,0.190824459,-0.092147436,0.673161025,0.258017004,-0.137666842,-0.201316264,-0.305825125,-0.02942112,0.05952381,-0.073919107,-0.95705172,-0.140957232,-0.952494062,0.520190024,-0.704761905,-0.103602484,1.31,0.31,44.63,1.24,0.213,7.3,2.34
PD6566_C3_YFP,PD6566,YFP,Classical,Pancreatic_Progenitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD6694_C2_YFP,PD6694,YFP,Classical,Pancreatic_Progenitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD7160_C2_YFP,PD7160,YFP,Classical,Pancreatic_Progenitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD7160_C5_BULK,PD7160,BULK,Basal_like,Squamous,Activated Stroma,0.825073199,0.080023004,0.57719715,-0.067324418,0.327622473,0.604123949,-0.498796584,0.07596054,0.376190476,-0.048634484,-0.401626485,-0.028466864,-0.163708305,-0.038416342,-0.015523331,-0.140851036,-0.36426781,0.503302501,0.030376862,0.306146423,0.116622397,-0.030952381,-0.570987127,0.914489311,0.463182898,0.580952381,0.29199926,8.08,2.15,31.53,1.02,4.38,10.81,1.25
PD7160_C5_YFP,PD7160,YFP,Classical,Pancreatic_Progenitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
